#{"t_start": 1760104453.683867, "env_id": "None"}
r,l,t
-121.19326,100,4.03463
-154.58742,100,4.034635
-101.276245,100,4.03464
-137.96924,100,4.034644
-110.27427,100,4.034648
-75.786865,100,4.034651
-128.2595,100,4.174432
-197.05853,100,4.17448
-43.38955,100,4.174489
-73.91383,100,4.174495
-45.07844,100,4.1745
-132.21016,100,4.174508
-212.43816,100,4.174513
-159.15736,100,4.174518
-272.05518,100,4.174522
-174.65271,100,4.174527
-162.69151,100,4.31526
-181.49324,100,4.3153
-169.58635,100,4.315307
-95.39527,100,4.315313
-150.40938,100,4.315319
-39.56907,100,4.315324
-159.01266,100,4.315329
-100.23687,100,4.315333
-107.80267,100,4.315337
-65.286415,100,4.315341
-102.94466,100,4.456129
-122.83392,100,4.456163
-75.95326,100,4.45617
-161.00084,100,4.456176
-83.73775,100,4.456181
-231.11963,100,4.456186
-107.63637,100,4.456191
-147.0993,100,4.456195
-227.87582,100,4.456199
-138.14546,100,4.456203
-63.554703,100,4.601216
-192.39568,100,4.601265
-107.611755,100,4.601274
-25.931921,100,4.60128
-286.95917,100,4.601286
-291.3774,100,4.601291
-319.66113,100,4.601295
-350.18555,100,4.6013
-288.8324,100,4.601304
-219.66945,100,4.601308
-449.4174,100,4.741214
-26.947565,100,4.741253
-295.29846,100,4.741262
-179.02364,100,4.741268
-127.162224,100,4.741273
-291.7659,100,4.741278
-114.61193,100,4.741283
-93.94856,100,4.741288
-472.4667,100,4.741292
-277.9843,100,4.741296
-200.55473,100,4.882943
-226.93784,100,4.882985
-320.5362,100,4.882995
-24.024221,100,4.883001
-208.87608,100,4.883011
-160.22581,100,4.88303
-287.10632,100,4.883035
-66.2269,100,4.883039
-216.89171,100,4.883044
-147.49448,100,4.883048
-161.4293,100,5.022993
-296.17798,100,5.023038
-239.99252,100,5.023048
-61.619453,100,5.023055
-164.02347,100,5.02306
-49.614964,100,5.023065
-356.5998,100,5.02307
-138.94307,100,5.023075
-25.64532,100,5.023079
-94.9279,100,5.023084
-119.25692,100,5.167322
-101.555084,100,5.167376
-139.04004,100,5.167388
-50.34233,100,5.167396
-42.109055,100,5.167402
-58.49604,100,5.167407
-166.662,100,5.167413
-204.41116,100,5.167418
-323.16568,100,5.167423
-25.518875,100,5.167427
-109.75257,100,5.313205
-171.62793,100,5.313252
-64.73299,100,5.31326
-228.1774,100,5.313266
-169.75514,100,5.313271
-263.11508,100,5.313276
-120.82193,100,5.313281
-122.84544,100,5.313285
-92.59473,100,5.313289
-172.70206,100,5.313293
-317.2042,100,5.452662
-122.17509,100,5.452695
-67.13422,100,5.452704
-250.9973,100,5.452712
-186.19817,100,5.452718
-174.59709,100,5.452723
-218.35309,100,5.452728
-38.58999,100,5.452733
-27.874977,100,5.452737
-241.03232,100,5.452741
-65.56433,100,5.591742
-91.07979,100,5.591772
-40.08241,100,5.59178
-236.0473,100,5.591786
-88.82047,100,5.591791
-85.93031,100,5.591796
-83.368805,100,5.591801
-156.98163,100,5.591805
-66.45359,100,5.59181
-108.78366,100,5.591814
-58.705254,100,5.731831
-100.756424,100,5.731856
-55.44705,100,5.731863
-95.91264,100,5.731868
-85.49006,100,5.731873
-97.04787,100,5.731878
-97.135796,100,5.731882
-107.919205,100,5.731887
-216.52803,100,5.731891
-64.62902,100,5.731895
-131.14049,100,5.870416
-93.79462,100,5.870439
-92.90739,100,5.870447
-107.5077,100,5.870453
-25.779327,100,5.870459
-84.973175,100,5.870464
-64.75489,100,5.870469
-38.744625,100,5.870474
-62.6682,100,5.870478
-120.337555,100,5.870483
-178.05118,100,6.008571
-147.92062,100,6.008599
-72.22132,100,6.00861
-110.172935,100,6.008617
-113.12832,100,6.008623
-99.50875,100,6.00863
-123.79156,100,6.008636
-66.19341,100,6.00864
-108.5379,100,6.008645
-25.574526,100,6.008649
-418.68353,100,6.147048
-404.0297,100,6.147073
-258.20767,100,6.147079
-319.8358,100,6.147088
-349.25452,100,6.147093
-160.96808,100,6.147098
-65.446365,100,6.147103
-267.4931,100,6.147107
-316.58508,100,6.147112
-460.05453,100,6.147116
-52.82371,100,6.286757
-132.10439,100,6.28678
-85.18576,100,6.286786
-153.49678,100,6.286791
-219.03297,100,6.286796
-51.178356,100,6.286801
-125.07771,100,6.286805
-196.08145,100,6.286809
-108.93022,100,6.286812
-102.71621,100,6.286816
-122.46328,100,6.425214
-221.62823,100,6.425245
-167.45404,100,6.425254
-83.66659,100,6.42526
-169.50005,100,6.425266
-245.67297,100,6.425271
-227.72533,100,6.425276
-152.33315,100,6.425281
-155.85333,100,6.425285
-177.55042,100,6.425289
-213.5972,100,6.565026
-290.3537,100,6.565056
-159.74014,100,6.565066
-85.02018,100,6.565071
-64.99744,100,6.565076
-345.40466,100,6.565081
-94.098946,100,6.565085
-205.86266,100,6.565089
-332.46255,100,6.565094
-56.490795,100,6.565098
-226.60765,100,6.7027
-315.2582,100,6.702728
-278.8498,100,6.702736
-363.7786,100,6.702742
-214.03876,100,6.702747
-192.16614,100,6.702752
-164.62483,100,6.70276
-44.76117,100,6.702764
-325.34152,100,6.702768
-26.89643,100,6.702773
-161.79218,100,6.85304
-216.8172,100,6.853087
-81.542625,100,6.853096
-105.261696,100,6.853102
-353.99054,100,6.853107
-376.13904,100,6.853116
-175.55519,100,6.85312
-191.58014,100,6.853125
-111.213455,100,6.853129
-238.48537,100,6.853133
-92.91538,100,6.99617
-104.04516,100,6.996215
-107.52849,100,6.996227
-58.923843,100,6.996233
-82.31271,100,6.996238
-132.4065,100,6.996244
-66.46088,100,6.996248
-95.711235,100,6.996253
-60.42304,100,6.996257
-121.45771,100,6.996261
-24.782278,100,7.137318
-70.92587,100,7.137358
-11.277485,100,7.137371
-23.145142,100,7.137376
-108.097336,100,7.137386
-30.744053,100,7.137391
-73.606766,100,7.137395
-108.778275,100,7.1374
-202.62167,100,7.137404
-87.290886,100,7.137408
-73.4098,100,7.279633
-129.13362,100,7.279675
-58.047085,100,7.279683
-174.07327,100,7.27969
-45.802586,100,7.279696
-143.31862,100,7.279702
-62.79994,100,7.279708
-73.37056,100,7.279714
-130.19003,100,7.279719
-33.590843,100,7.279725
-64.67252,100,7.421634
-78.873886,100,7.421668
-61.110577,100,7.421676
-109.03878,100,7.421682
-65.15829,100,7.421687
-83.59518,100,7.421692
-146.825,100,7.421697
-92.334564,100,7.421702
-124.38309,100,7.421706
-114.18174,100,7.421711
-83.434875,100,7.562701
-43.732998,100,7.562739
-26.893135,100,7.562747
-24.223845,100,7.562754
-30.747063,100,7.562759
-39.476543,100,7.562764
-17.784384,100,7.562769
-38.73247,100,7.562773
-76.24092,100,7.562787
-54.797924,100,7.562792
-28.124786,100,7.703339
-70.95262,100,7.703368
-33.991642,100,7.703376
-34.22446,100,7.703383
-42.882355,100,7.703388
-18.702627,100,7.703396
-103.156296,100,7.7034
-88.6706,100,7.703405
-52.653015,100,7.703409
-74.5773,100,7.703414
-33.61123,100,7.842948
-55.30021,100,7.842981
-52.82644,100,7.842988
-60.04808,100,7.842995
-35.51988,100,7.843
-38.098083,100,7.843005
-138.17183,100,7.84301
-109.46501,100,7.843014
-24.684853,100,7.843018
-132.41068,100,7.843023
-106.14643,100,7.982272
-101.5308,100,7.982296
-127.25499,100,7.982303
-75.69999,100,7.982308
-118.87635,100,7.982313
-71.58137,100,7.982318
-64.70978,100,7.982323
-87.797005,100,7.982328
-79.8409,100,7.982336
-102.51214,100,7.982341
-53.163136,100,8.121797
-69.98565,100,8.121819
-96.90489,100,8.121827
-92.17208,100,8.121833
-100.13943,100,8.121839
-70.99149,100,8.121844
-63.37228,100,8.121848
-68.8348,100,8.121853
-32.875874,100,8.121857
-94.10494,100,8.121862
-92.14329,100,8.261787
-86.96594,100,8.261815
-75.69196,100,8.261822
-36.08612,100,8.261827
-75.50586,100,8.261833
