#{"t_start": 1760104631.30268, "env_id": "None"}
r,l,t
-54.467773,100,6.773073
-119.03634,100,6.773078
-26.935947,100,6.773082
-102.7464,100,6.77309
-62.29944,100,6.773094
-58.106945,100,6.773099
-122.77519,100,6.773103
-226.32768,100,6.910632
-20.348694,100,6.910659
-25.182589,100,6.910668
-154.93552,100,6.910672
-128.41142,100,6.910677
-72.93498,100,6.910684
-16.380556,100,6.910688
-69.84699,100,6.910693
-140.90906,100,6.910697
-138.62604,100,6.910701
-51.57201,100,7.048836
-153.86293,100,7.048875
-86.42607,100,7.048883
-14.755758,100,7.048889
-26.92328,100,7.048894
-107.192024,100,7.048899
-33.583035,100,7.048903
-196.80627,100,7.048908
-35.87828,100,7.048912
-33.022552,100,7.048916
-82.189735,100,7.186436
-79.231964,100,7.186454
-125.57854,100,7.18646
-39.687263,100,7.186465
-14.795498,100,7.186472
-40.760925,100,7.186477
-18.403692,100,7.186481
-173.9955,100,7.186485
-95.325294,100,7.186489
-22.194672,100,7.186493
-36.00204,100,7.324398
-34.324486,100,7.324434
-61.42804,100,7.32444
-66.41285,100,7.324445
-21.028591,100,7.32445
-102.00364,100,7.324454
-78.180695,100,7.324458
-116.49893,100,7.324463
-46.83312,100,7.324467
-41.7837,100,7.324471
-233.40675,100,7.461484
-58.384155,100,7.461504
-319.80148,100,7.461512
-186.95163,100,7.461519
-170.59137,100,7.461524
-150.17659,100,7.461528
-58.485588,100,7.461533
-93.13766,100,7.461538
-94.339775,100,7.461542
-92.31432,100,7.461546
-53.222237,100,7.597868
-41.131718,100,7.597878
-79.19366,100,7.597884
-100.85173,100,7.597888
-90.20783,100,7.597893
-129.19958,100,7.597897
-85.21128,100,7.597902
-68.00157,100,7.597906
-30.193485,100,7.59791
-34.106094,100,7.597914
-128.78807,100,7.735397
-111.32716,100,7.735419
-26.465881,100,7.735428
-243.55878,100,7.735435
-152.66835,100,7.73544
-43.040794,100,7.735446
-32.02175,100,7.73545
-18.326124,100,7.735455
-59.802853,100,7.735459
-47.43361,100,7.735464
-191.44164,100,7.872429
-153.2703,100,7.872441
-47.53667,100,7.872447
-37.40343,100,7.872452
-45.342922,100,7.872457
-61.393982,100,7.872462
-39.382,100,7.872466
-31.992088,100,7.87247
-14.501463,100,7.872474
-49.26942,100,7.872478
-195.6053,100,8.009337
-58.651005,100,8.009347
-197.33537,100,8.009365
-151.21259,100,8.00937
-141.38565,100,8.009375
-237.99857,100,8.009382
-48.206676,100,8.009387
-33.801533,100,8.009391
-280.90582,100,8.009395
-188.74406,100,8.009398
-150.44112,100,8.146153
-192.50478,100,8.14617
-28.464565,100,8.146176
-15.807327,100,8.146182
-50.143723,100,8.146186
-40.605927,100,8.146191
-117.453255,100,8.146195
-50.813427,100,8.1462
-280.694,100,8.146204
-166.13608,100,8.146209
-47.79602,100,8.300434
-23.089617,100,8.300492
-196.11319,100,8.300506
-49.3139,100,8.300513
-23.538965,100,8.30052
-47.448223,100,8.300526
-31.51542,100,8.300532
-34.493183,100,8.300537
-43.870186,100,8.300543
-43.692642,100,8.300548
-161.82275,100,8.441101
-278.84924,100,8.441163
-70.782455,100,8.441173
-35.82263,100,8.441181
-19.955406,100,8.441192
-64.89673,100,8.441198
-197.32118,100,8.441204
-106.03121,100,8.441209
-273.54495,100,8.441214
-127.11704,100,8.44122
-12.030964,100,8.580663
-45.37422,100,8.580709
-50.87465,100,8.580718
-27.54578,100,8.580725
-32.960598,100,8.580731
-44.967155,100,8.580737
-33.342102,100,8.580742
-49.269974,100,8.580747
-24.143896,100,8.580752
-52.45881,100,8.580757
-163.48724,100,8.720592
-129.04564,100,8.720632
-22.671425,100,8.720639
-183.75578,100,8.720645
-58.036427,100,8.720653
-63.631203,100,8.720659
-53.65461,100,8.720663
-34.164017,100,8.720668
-82.7464,100,8.720672
-35.080708,100,8.720678
-27.30039,100,8.860072
-129.37146,100,8.860114
-164.56056,100,8.860123
-31.831987,100,8.86013
-55.202972,100,8.860136
-10.766475,100,8.860142
-109.71254,100,8.860148
-166.49869,100,8.860153
-78.2697,100,8.860158
-317.21655,100,8.860163
-57.32327,100,11.690655
-36.544853,100,11.690714
-87.22922,100,11.690724
-36.67093,100,11.690731
-48.221916,100,11.690737
-56.146553,100,11.690743
-39.664494,100,11.690749
-31.711758,100,11.690754
-69.50271,100,11.690759
-33.40678,100,11.690764
-29.236702,100,11.837452
-103.312645,100,11.837495
-70.01018,100,11.837503
-91.060844,100,11.837511
-49.217854,100,11.837518
-33.59857,100,11.837523
-49.52107,100,11.837529
-56.529358,100,11.837534
-28.871323,100,11.83754
-83.10562,100,11.837545
-47.882732,100,11.977597
-18.44468,100,11.977643
-26.735365,100,11.977655
-31.107367,100,11.977662
-86.88497,100,11.977669
-45.910275,100,11.977677
-168.28366,100,11.977682
-42.088448,100,11.977687
-119.72752,100,11.977692
-42.275257,100,11.977697
-34.246986,100,12.117225
-47.246147,100,12.117275
-60.119522,100,12.117282
-57.468727,100,12.117289
-65.696785,100,12.117294
-15.513671,100,12.1173
-22.135199,100,12.117305
-30.144505,100,12.11731
-50.74259,100,12.117315
-37.04782,100,12.117319
-138.197,100,12.271987
-16.418756,100,12.272041
-30.981667,100,12.272051
-34.090057,100,12.272059
-68.88757,100,12.272066
-80.51029,100,12.272075
-51.06288,100,12.272082
-112.728645,100,12.27209
-23.181753,100,12.272097
-22.12005,100,12.272102
-26.988749,100,12.414122
-97.7205,100,12.414162
-24.598076,100,12.414171
-61.528027,100,12.414178
-28.849054,100,12.414184
-37.93499,100,12.41419
-29.882193,100,12.414195
-120.36377,100,12.4142
-40.040947,100,12.414206
-29.7299,100,12.414211
-28.26825,100,12.556111
-53.532436,100,12.556167
-16.316507,100,12.556178
-39.317623,100,12.556185
-48.32398,100,12.556192
-43.2188,100,12.556198
-94.10844,100,12.556204
-27.942709,100,12.556209
-25.64837,100,12.556215
-65.09978,100,12.55622
-81.04783,100,12.697654
-35.252518,100,12.697701
-45.3153,100,12.69771
-224.46121,100,12.697717
-67.530495,100,12.697723
-42.098984,100,12.697729
-64.821884,100,12.697734
-21.37897,100,12.697739
-52.708473,100,12.697744
-23.66088,100,12.697749
-108.84694,100,12.839081
-17.927814,100,12.839141
-36.97393,100,12.839154
-22.912853,100,12.839162
-31.448778,100,12.839171
-52.062046,100,12.839191
-75.0104,100,12.839197
-77.03945,100,12.839202
-26.155933,100,12.839208
-82.80619,100,12.839214
-63.117466,100,12.982107
-14.355803,100,12.982164
-68.96741,100,12.982175
-59.993484,100,12.982182
-64.81642,100,12.982189
-21.185696,100,12.982203
-29.532059,100,12.982209
-144.43533,100,12.982214
-60.23015,100,12.982219
-80.08401,100,12.982224
-81.87812,100,13.124956
-27.323807,100,13.125003
-37.38766,100,13.125013
-71.84117,100,13.12502
-31.19298,100,13.12503
-34.031433,100,13.125035
-184.76125,100,13.125041
-72.79083,100,13.125046
-11.432199,100,13.125051
-19.36664,100,13.125055
-47.498447,100,13.266179
-69.72763,100,13.266224
-95.90562,100,13.266234
-12.385129,100,13.26624
-36.01333,100,13.266246
-51.450478,100,13.266252
-96.61448,100,13.266257
-45.513313,100,13.266262
-103.243576,100,13.266266
-48.817566,100,13.266271
-57.256577,100,13.406396
-16.715828,100,13.406435
-50.224453,100,13.406443
-77.785706,100,13.406448
-27.42466,100,13.406456
-30.759687,100,13.406463
-18.14902,100,13.406469
-87.21556,100,13.406474
-93.57606,100,13.406479
-44.539265,100,13.406486
-36.051258,100,13.545336
-46.888027,100,13.545379
-18.801704,100,13.545388
-39.487457,100,13.545394
-49.24894,100,13.545399
-132.6105,100,13.545404
-69.76254,100,13.545409
-113.85855,100,13.545414
-31.98346,100,13.545418
-46.092804,100,13.545422
-68.61247,100,13.682648
-33.826897,100,13.682662
-34.198704,100,13.682671
-71.008965,100,13.682677
-40.07051,100,13.682686
-39.92529,100,13.682691
-32.93232,100,13.682696
-63.03851,100,13.6827
-43.21228,100,13.682705
-53.776173,100,13.682709
-58.661068,100,13.820661
-49.221836,100,13.820673
-54.651936,100,13.820679
-175.40427,100,13.820684
-19.248075,100,13.820689
-101.92056,100,13.820694
-40.82006,100,13.820698
-221.04419,100,13.820703
-101.87366,100,13.820707
-22.27019,100,13.820711
-22.093166,100,13.958386
-63.285732,100,13.958422
-34.08342,100,13.95843
-37.12787,100,13.958437
-32.374054,100,13.958442
-33.935215,100,13.958447
-30.425575,100,13.958452
-226.39424,100,13.958457
-19.845793,100,13.958462
-21.711733,100,13.958466
-103.6599,100,14.101461
-34.367687,100,14.101508
-24.970154,100,14.101517
-81.42685,100,14.101523
-20.02275,100,14.101529
-39.530636,100,14.101534
-29.359097,100,14.101538
-45.585552,100,14.101543
-50.705307,100,14.101547
-34.51251,100,14.101551
-92.262856,100,14.239751
-35.15955,100,14.239786
-65.22605,100,14.239793
-24.282265,100,14.239802
-20.792934,100,14.239807
-68.97925,100,14.239812
-17.209526,100,14.239816
-76.00514,100,14.239821
-49.46998,100,14.239825
-56.51817,100,14.23983
-18.692286,100,14.379364
-65.23866,100,14.379399
-29.749435,100,14.379406
-25.808716,100,14.379412
-87.83863,100,14.379416
-85.77844,100,14.379421
-49.320927,100,14.379426
-18.513733,100,14.379431
-49.487255,100,14.379435
-29.610703,100,14.37944
-32.12304,100,14.518971
-86.32774,100,14.519015
-98.74347,100,14.519026
-45.174995,100,14.519033
-20.353086,100,14.519038
-23.731472,100,14.519044
-52.909237,100,14.519049
-94.82762,100,14.519054
-49.865025,100,14.519058
-46.825497,100,14.519066
-64.880325,100,17.370662
-147.92201,100,17.370714
-56.931694,100,17.370727
-82.841255,100,17.370734
-63.500217,100,17.370743
-21.306307,100,17.370749
-16.694672,100,17.370754
-51.724827,100,17.370759
-61.192715,100,17.370764
-57.955826,100,17.370768
-28.715162,100,17.508269
-81.63101,100,17.508306
-36.641155,100,17.508319
-22.831474,100,17.508327
-50.012497,100,17.508336
-35.337364,100,17.508342
-24.164976,100,17.508352
-16.727562,100,17.508357
-47.277214,100,17.508362
-32.58762,100,17.508367
-19.06418,100,17.644868
-59.64023,100,17.644892
-43.663498,100,17.644902
-40.339504,100,17.64491
-15.803493,100,17.644916
-32.17737,100,17.644922
-23.11119,100,17.644928
-12.978814,100,17.644933
-21.46136,100,17.644939
-49.428852,100,17.644944
-15.856533,100,17.782473
-14.971549,100,17.782501
-43.944443,100,17.782508
-53.502296,100,17.782515
-122.3522,100,17.78252
-36.759335,100,17.782529
-132.0986,100,17.782535
-20.150736,100,17.78254
-65.037155,100,17.782548
-9.394093,100,17.782553
-29.662752,100,17.921023
-59.498802,100,17.921076
-20.015326,100,17.921086
-14.722054,100,17.921097
-124.016396,100,17.921103
-22.995749,100,17.921128
-10.888802,100,17.921134
-15.301648,100,17.921139
-69.9527,100,17.921144
-46.59236,100,17.921149
-24.409689,100,18.057968
-11.641229,100,18.057993
-59.371525,100,18.058004
-25.94167,100,18.05801
-30.38486,100,18.058015
-59.287956,100,18.05802
-32.486076,100,18.058025
-19.603672,100,18.05803
-22.242004,100,18.058037
-59.57005,100,18.058041
-21.518248,100,18.195233
-45.0931,100,18.195255
-38.76787,100,18.195262
-68.228325,100,18.195271
-28.864513,100,18.195276
-26.081495,100,18.195281
-29.077658,100,18.195285
-32.99036,100,18.195289
-63.65137,100,18.195293
-8.696813,100,18.195297
-147.83905,100,18.335129
-59.164413,100,18.335169
-38.88252,100,18.335177
-37.636333,100,18.335183
-11.785361,100,18.335188
-16.486794,100,18.335193
-43.99333,100,18.335198
-46.06544,100,18.335202
-29.858397,100,18.335207
-50.23186,100,18.335211
-20.649338,100,18.475876
-12.970153,100,18.475921
-37.557457,100,18.475931
-28.156675,100,18.475937
-19.045332,100,18.475942
-39.52003,100,18.47595
-54.467308,100,18.475955
-40.61071,100,18.475959
-79.04787,100,18.475964
-58.23177,100,18.475968
-41.50776,100,18.615129
-13.550296,100,18.615167
-75.34858,100,18.615174
-26.029518,100,18.61518
-24.224075,100,18.615184
-29.108238,100,18.615189
-38.207664,100,18.615194
-6.2389655,100,18.615198
-60.45403,100,18.615202
-8.444918,100,18.615207
-13.97711,100,18.754837
-28.539885,100,18.754878
-37.618744,100,18.75489
-14.987016,100,18.754896
-72.22111,100,18.754902
-33.606434,100,18.754907
-16.04857,100,18.754912
-21.791264,100,18.754916
-50.03548,100,18.754921
-33.393665,100,18.754925
-10.278297,100,18.892509
-26.07017,100,18.89254
-54.364468,100,18.892547
-23.549376,100,18.892553
-8.11362,100,18.892558
-22.47111,100,18.892566
-27.488808,100,18.89257
-51.846508,100,18.892574
-13.016969,100,18.892578
-52.613037,100,18.892584
-34.65528,100,19.030331
-29.414713,100,19.030351
-33.45888,100,19.030358
-35.958176,100,19.030364
-14.849851,100,19.030368
-71.00923,100,19.030373
-19.796303,100,19.030377
-28.258608,100,19.030381
-18.531689,100,19.030385
-22.179163,100,19.030389
-13.499254,100,19.168069
-84.45397,100,19.1681
-95.734474,100,19.168108
-57.163956,100,19.168115
-76.96827,100,19.168121
-44.90148,100,19.168127
-66.504814,100,19.168134
-12.260579,100,19.16814
-9.5252695,100,19.168145
-54.630318,100,19.168151
-10.108906,100,19.307272
-41.203342,100,19.307306
-26.810083,100,19.307312
-18.459866,100,19.307317
-76.62374,100,19.307322
-47.962032,100,19.307326
-24.803453,100,19.307331
-18.296257,100,19.307335
-27.307104,100,19.307339
-20.41261,100,19.307343
-17.904676,100,19.447719
-26.23857,100,19.447759
-35.749123,100,19.447767
-23.388664,100,19.447774
-16.412296,100,19.447779
-130.12212,100,19.447784
-22.66775,100,19.447789
-62.204765,100,19.447794
-29.666924,100,19.447798
-24.380053,100,19.447803
-118.83025,100,19.58755
-27.742304,100,19.587597
-53.21715,100,19.587606
-34.449184,100,19.587613
-76.320854,100,19.587618
-64.4593,100,19.587624
-11.138952,100,19.587629
-38.755695,100,19.587633
-58.4974,100,19.587638
-80.942825,100,19.587643
-13.480308,100,19.731181
-16.866415,100,19.731215
-34.902588,100,19.731225
-21.706987,100,19.731231
-42.68241,100,19.731236
-22.728996,100,19.73124
-17.817286,100,19.731256
-30.499626,100,19.731261
-22.291155,100,19.731266
-38.24756,100,19.73127
-12.916275,100,19.870132
-38.432377,100,19.870168
-33.800213,100,19.870175
-16.257853,100,19.870181
-22.917545,100,19.870186
-36.48302,100,19.870191
-13.368796,100,19.870198
-23.9961,100,19.870203
-12.003757,100,19.870207
-39.574245,100,19.870212
-18.369541,100,20.008072
-16.378271,100,20.008101
-36.593502,100,20.008108
-13.099072,100,20.008114
-21.658573,100,20.00812
-57.06493,100,20.008128
-26.759302,100,20.008132
-38.5546,100,20.008137
-31.90734,100,20.008141
-38.1719,100,20.008145
-49.575497,100,22.878033
-27.05667,100,22.878092
-29.128168,100,22.878102
-51.76864,100,22.878109
-36.50811,100,22.878115
-12.853798,100,22.878136
-34.872364,100,22.878142
-43.38715,100,22.878147
-21.766695,100,22.878152
-48.90272,100,22.878157
-33.15178,100,23.016669
-10.549056,100,23.016706
-17.848475,100,23.016719
-33.76058,100,23.016726
-16.565605,100,23.016731
-15.836843,100,23.016736
-16.391172,100,23.016741
-22.77033,100,23.016745
-16.304506,100,23.016749
-21.225351,100,23.016753
-14.266087,100,23.153548
-61.53293,100,23.153569
-11.034231,100,23.153582
-13.065219,100,23.153589
-17.989965,100,23.153594
-10.957016,100,23.1536
-30.673506,100,23.153605
-13.997181,100,23.15361
-21.505037,100,23.153614
-47.572746,100,23.153618
-15.879143,100,23.290949
-14.193607,100,23.29098
-26.654297,100,23.290988
-13.716922,100,23.290997
-27.427155,100,23.291002
-27.222803,100,23.291007
-23.498585,100,23.291012
-59.572754,100,23.291016
-17.582125,100,23.29102
-50.853146,100,23.291024
-15.4941225,100,23.427576
-19.66006,100,23.427611
-11.839801,100,23.427617
-25.95582,100,23.427626
-14.432306,100,23.427631
-25.877655,100,23.427635
-19.616972,100,23.42764
-19.029465,100,23.427647
-28.95153,100,23.427652
-18.027252,100,23.427656
-27.10299,100,23.567619
-20.980299,100,23.56766
-22.91545,100,23.567672
-17.617619,100,23.567678
-20.522953,100,23.567684
-23.010033,100,23.567692
-9.049579,100,23.567697
-34.277885,100,23.567702
-28.685568,100,23.56771
-37.58861,100,23.567714
-43.7244,100,23.708711
-58.136066,100,23.708751
-91.90873,100,23.708762
-29.480373,100,23.708768
-51.652775,100,23.708773
-22.3191,100,23.708778
-49.871937,100,23.708782
-29.66405,100,23.708786
-43.133232,100,23.70879
-27.745049,100,23.708794
-18.010258,100,23.84509
-15.592646,100,23.845113
-22.985607,100,23.845126
-21.895618,100,23.845132
-23.491936,100,23.845137
-18.953157,100,23.845145
-25.517872,100,23.84515
-12.252317,100,23.845155
-12.553768,100,23.845159
-41.27181,100,23.845164
-15.770676,100,23.983243
-13.395092,100,23.983291
-22.743055,100,23.983299
-12.352422,100,23.983305
-15.174087,100,23.98331
-20.0186,100,23.983315
-13.476771,100,23.98332
-14.550664,100,23.983325
-12.828852,100,23.983329
-10.459649,100,23.983334
-11.268902,100,24.122228
-11.332598,100,24.12227
-69.777504,100,24.122278
-61.618137,100,24.122284
-30.456245,100,24.12229
-80.88823,100,24.122294
-24.076227,100,24.122299
-11.701884,100,24.122303
-29.563206,100,24.122307
-50.95003,100,24.122311
-53.85188,100,24.259112
-26.981985,100,24.259155
-18.140312,100,24.259166
-10.951051,100,24.259172
-18.795574,100,24.259182
-39.099632,100,24.259187
-10.849958,100,24.259192
-10.2080145,100,24.2592
-19.49049,100,24.259205
-18.468569,100,24.25921
-11.984378,100,24.400586
-13.891491,100,24.400637
-18.35643,100,24.400647
-13.437602,100,24.400654
-19.771574,100,24.40066
-20.551207,100,24.400666
-27.87514,100,24.400672
-19.770153,100,24.400677
-21.387217,100,24.400682
-16.605148,100,24.400687
-35.292603,100,24.541291
-16.650543,100,24.541338
-35.74549,100,24.541347
-8.191506,100,24.541354
-26.236563,100,24.54136
-21.77831,100,24.541369
-31.45126,100,24.541374
-26.349731,100,24.54138
-35.89682,100,24.541385
-12.133784,100,24.541392
-17.042032,100,24.682556
-33.27698,100,24.682607
-20.742218,100,24.682619
-24.118462,100,24.682627
-10.663044,100,24.682633
-15.321313,100,24.682639
-30.716234,100,24.682644
-12.917334,100,24.682649
-40.57654,100,24.682654
-14.464408,100,24.682659
-28.160688,100,24.823427
-37.16244,100,24.823476
-26.555777,100,24.823485
-26.590553,100,24.823493
-20.049007,100,24.823499
-90.62418,100,24.823505
-19.1749,100,24.823511
-26.612438,100,24.823516
-50.29079,100,24.823521
-13.3239355,100,24.823527
-5.605894,100,24.964383
-15.726742,100,24.96443
-18.383268,100,24.96444
-17.63348,100,24.964446
-12.177768,100,24.964452
-43.423862,100,24.964458
-14.060906,100,24.964463
-13.205117,100,24.964468
-27.600637,100,24.964472
-33.162895,100,24.964477
-15.957842,100,25.102212
-47.765583,100,25.102236
-12.422067,100,25.102245
-34.028736,100,25.102252
-11.297559,100,25.102258
-26.057734,100,25.102274
-26.485703,100,25.102279
