#{"t_start": 1761302692.6657631, "env_id": "None"}
r,l,t
-69.74004,100,6.740414
-32.0233,100,6.740419
-263.8685,100,6.740423
-138.2303,100,6.740428
-203.00362,100,6.740435
-126.57969,100,6.74044
-79.35792,100,6.740444
-456.4341,100,6.868231
-365.2514,100,6.868251
-148.3148,100,6.86826
-181.70206,100,6.868267
-321.39575,100,6.868273
-334.4509,100,6.868278
-258.29462,100,6.868282
-178.11462,100,6.868287
-319.2017,100,6.868291
-255.39607,100,6.868296
-73.370735,100,6.995537
-61.16156,100,6.995555
-70.672005,100,6.995563
-180.81445,100,6.995569
-106.03721,100,6.995575
-112.18929,100,6.99558
-38.913624,100,6.995584
-133.27528,100,6.995588
-40.334072,100,6.995593
-70.810936,100,6.995597
-244.79213,100,7.122854
-69.281555,100,7.122865
-26.424671,100,7.12287
-54.77426,100,7.122875
-118.9988,100,7.122879
-315.1482,100,7.122883
-26.511665,100,7.122887
-120.19981,100,7.122891
-166.0821,100,7.122895
-132.49367,100,7.122899
-38.083107,100,7.249445
-45.408188,100,7.249458
-21.3043,100,7.249465
-41.80702,100,7.249471
-86.36241,100,7.249476
-94.833046,100,7.24948
-46.929638,100,7.249485
-28.04365,100,7.249489
-242.83015,100,7.249493
-109.17672,100,7.249496
-162.63458,100,7.381045
-53.38521,100,7.381087
-238.1607,100,7.381094
-265.42035,100,7.3811
-157.80981,100,7.381105
-42.767323,100,7.38111
-118.70334,100,7.381115
-84.70927,100,7.381119
-132.87161,100,7.381123
-45.88225,100,7.381128
-112.80727,100,7.52775
-195.81636,100,7.527795
-104.02811,100,7.527805
-40.441097,100,7.527812
-75.18811,100,7.527818
-104.046616,100,7.527823
-33.319534,100,7.527828
-80.96399,100,7.527832
-98.52031,100,7.527836
-61.801754,100,7.527841
-110.98999,100,7.675098
-61.770123,100,7.675153
-200.65817,100,7.675165
-209.1454,100,7.675176
-157.85028,100,7.675181
-189.68248,100,7.675187
-138.8818,100,7.675192
-123.16473,100,7.675197
-50.53347,100,7.675202
-153.46974,100,7.675206
-207.93307,100,7.83866
-110.0855,100,7.838711
-113.94822,100,7.838721
-138.46848,100,7.838728
-146.48996,100,7.838736
-302.58514,100,7.838741
-300.58856,100,7.838746
-127.93177,100,7.838752
-54.20714,100,7.838757
