#{"t_start": 1761301565.697262, "env_id": "None"}
r,l,t
-13.0,100,6.492726
12.0,100,6.49273
-11.0,100,6.492734
-20.0,100,6.612583
-26.0,100,6.612592
-1.0,100,6.612601
13.0,100,6.612605
-43.0,100,6.612609
24.0,100,6.612613
-22.0,100,6.612617
-6.0,100,6.612621
-2.0,100,6.612624
8.0,100,6.612628
22.0,100,6.73678
20.0,100,6.736816
-15.0,100,6.736824
-12.0,100,6.73683
-9.0,100,6.736835
7.0,100,6.73684
4.0,100,6.736844
29.0,100,6.736849
10.0,100,6.736853
-18.0,100,6.736857
0.0,100,6.85788
-17.0,100,6.857918
-13.0,100,6.857927
-30.0,100,6.857933
-27.0,100,6.857938
-11.0,100,6.857942
-12.0,100,6.857946
-7.0,100,6.85795
2.0,100,6.857954
-16.0,100,6.857958
2.0,100,6.979898
8.0,100,6.979936
-26.0,100,6.979943
-5.0,100,6.979949
-11.0,100,6.979957
-4.0,100,6.979962
-30.0,100,6.979966
-14.0,100,6.97997
-1.0,100,6.979975
-24.0,100,6.979979
26.0,100,7.101176
5.0,100,7.101209
-7.0,100,7.101215
-2.0,100,7.10122
-42.0,100,7.101224
8.0,100,7.101229
-8.0,100,7.101233
-2.0,100,7.101237
-6.0,100,7.101241
7.0,100,7.101245
16.0,100,7.221669
-2.0,100,7.221689
-7.0,100,7.221697
-40.0,100,7.221702
-2.0,100,7.221708
-16.0,100,7.221712
-21.0,100,7.221717
-17.0,100,7.221721
-1.0,100,7.221724
-41.0,100,7.221728
-17.0,100,7.343003
-9.0,100,7.343038
10.0,100,7.343044
-46.0,100,7.343052
6.0,100,7.343057
-51.0,100,7.343061
-20.0,100,7.343065
-17.0,100,7.343069
-10.0,100,7.343074
-31.0,100,7.343077
-10.0,100,7.463492
-40.0,100,7.463506
0.0,100,7.463513
-18.0,100,7.463518
-41.0,100,7.463523
4.0,100,7.463527
-5.0,100,7.463531
10.0,100,7.463535
-33.0,100,7.463539
-35.0,100,7.463542
-65.0,100,7.583903
-9.0,100,7.583919
6.0,100,7.583927
0.0,100,7.583933
11.0,100,7.583938
7.0,100,7.583942
-2.0,100,7.583946
-23.0,100,7.583951
-7.0,100,7.583955
-2.0,100,7.583962
-11.0,100,7.704059
-1.0,100,7.704068
-9.0,100,7.704073
-61.0,100,7.704078
6.0,100,7.704082
0.0,100,7.704085
-3.0,100,7.704089
-19.0,100,7.704093
-31.0,100,7.704097
6.0,100,7.7041
-26.0,100,7.824339
-15.0,100,7.82435
41.0,100,7.824356
-40.0,100,7.824361
-4.0,100,7.824365
-30.0,100,7.824369
-27.0,100,7.824373
-25.0,100,7.824377
-29.0,100,7.824381
-27.0,100,7.824385
-13.0,100,7.944669
-30.0,100,7.944684
-48.0,100,7.94469
-5.0,100,7.944695
2.0,100,7.944699
-8.0,100,7.944703
-17.0,100,7.944708
-21.0,100,7.944712
-6.0,100,7.944715
-14.0,100,7.944719
-33.0,100,8.06486
-6.0,100,8.064875
16.0,100,8.064883
-30.0,100,8.064888
-4.0,100,8.064893
-30.0,100,8.064901
-21.0,100,8.064905
-11.0,100,8.064909
7.0,100,8.064913
-35.0,100,8.064917
-5.0,100,10.857101
-12.0,100,10.857144
-32.0,100,10.857155
4.0,100,10.85716
-24.0,100,10.85717
-35.0,100,10.857174
3.0,100,10.857179
-10.0,100,10.857183
-3.0,100,10.857187
16.0,100,10.857191
5.0,100,10.978871
-20.0,100,10.978885
-16.0,100,10.97889
23.0,100,10.978895
9.0,100,10.978899
9.0,100,10.978903
-3.0,100,10.978907
11.0,100,10.97891
22.0,100,10.978924
19.0,100,10.978928
2.0,100,11.099704
13.0,100,11.099715
-2.0,100,11.09972
14.0,100,11.099724
10.0,100,11.099729
-12.0,100,11.099732
-4.0,100,11.099736
11.0,100,11.09974
-20.0,100,11.099744
-7.0,100,11.099747
-25.0,100,11.219736
21.0,100,11.219754
4.0,100,11.219761
14.0,100,11.219767
-5.0,100,11.219772
11.0,100,11.219776
6.0,100,11.21978
13.0,100,11.219784
-7.0,100,11.219788
15.0,100,11.219792
21.0,100,11.340097
27.0,100,11.340118
18.0,100,11.340126
-1.0,100,11.340131
21.0,100,11.340136
-1.0,100,11.340141
-11.0,100,11.340148
-7.0,100,11.340152
6.0,100,11.340156
-12.0,100,11.340159
6.0,100,11.460716
-11.0,100,11.460735
10.0,100,11.460743
-6.0,100,11.460749
-16.0,100,11.460754
-15.0,100,11.460759
-3.0,100,11.460763
7.0,100,11.460766
2.0,100,11.460771
-17.0,100,11.460774
17.0,100,11.581068
43.0,100,11.581077
-15.0,100,11.581082
-19.0,100,11.581086
18.0,100,11.58109
16.0,100,11.581094
4.0,100,11.581098
13.0,100,11.581102
11.0,100,11.581105
30.0,100,11.581109
2.0,100,11.704693
5.0,100,11.704735
-5.0,100,11.704743
2.0,100,11.704749
6.0,100,11.704754
0.0,100,11.704758
-25.0,100,11.704762
-8.0,100,11.704767
-15.0,100,11.704771
-31.0,100,11.704775
26.0,100,11.825996
-9.0,100,11.826024
0.0,100,11.826031
7.0,100,11.826036
-6.0,100,11.826041
31.0,100,11.826046
-15.0,100,11.82605
17.0,100,11.826054
11.0,100,11.826058
9.0,100,11.826062
-15.0,100,11.946887
15.0,100,11.946907
0.0,100,11.946914
21.0,100,11.946923
13.0,100,11.946928
3.0,100,11.946932
5.0,100,11.94694
-3.0,100,11.946944
-1.0,100,11.946948
23.0,100,11.946952
-8.0,100,12.069585
-24.0,100,12.069629
-2.0,100,12.069638
-4.0,100,12.069644
21.0,100,12.069649
10.0,100,12.069654
-1.0,100,12.069658
21.0,100,12.069664
-23.0,100,12.06967
-68.0,100,12.069675
3.0,100,12.192149
-5.0,100,12.192187
12.0,100,12.192197
9.0,100,12.192203
6.0,100,12.192208
4.0,100,12.192212
6.0,100,12.192217
-6.0,100,12.192221
12.0,100,12.192225
47.0,100,12.192232
25.0,100,12.316595
6.0,100,12.316639
10.0,100,12.31665
13.0,100,12.316656
4.0,100,12.316661
-14.0,100,12.316666
-12.0,100,12.316673
4.0,100,12.316677
15.0,100,12.316681
-13.0,100,12.316685
